No.,Kabupaten/Kota,Province,Institution,item_title, quantity ,unit,Realisasi Program,Year,Valid,Tautan,item_title,item_title_english
51,Kota Administrasi Jakarta Utara,DKI Jakarta,PT PLN Energi Primer Indonesia (PLN EPI) dan Dinas Lingkungan Hidup Jakarta Utara,"Jaga ekosistem pantai, PLN EPI tanam 1.000 bibit mangrove di Marunda ",1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.antaranews.com/berita/4134945/jaga-ekosistem-pantai-pln-epi-tanam-1000-bibit-mangrove-di-marunda,"Jaga ekosistem pantai, PLN EPI tanam 1.000 bibit mangrove di Marunda ","Protecting Coastal Ecosystems, PLN EPI Plants 1,000 Mangroves in Marunda"
52,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Federal International Finance (FIFGROUP),"Aksi Tanam Mangrove, FIFGROUP Ajak Karyawan Peduli Pesisir dan Pantai ",234,seedlings,234 bibit mangrove ditanam,2023,√,https://malangtimes.com/baca/291625/20230625/022600/privacy,"Aksi Tanam Mangrove, FIFGROUP Ajak Karyawan Peduli Pesisir dan Pantai ",Mangrove Planting Action: FIFGROUP Invites Employees to Care for Coasts and Beaches
53,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Chitra Paratama,"Dukung Keberlanjutan, Chitra Tanam 250 Mangrove di TWA Angke ",250,seedlings,250 bibit mangrove ditanam ,2025,√,https://www.marketeers.com/dukung-keberlanjutan-chitra-tanam-250-mangrove-di-twa-angke/,"Dukung Keberlanjutan, Chitra Tanam 250 Mangrove di TWA Angke ","Supporting Sustainability, Chitra Plants 250 Mangroves at Angke Nature Park"
54,Kota Administrasi Jakarta Utara,DKI Jakarta,Zurich Foundation (Zurich) dan PT Adira Dinamika Multi Finance Tbk,"Foto Bisnis SWA, Zurich dan Adira Finance Menanam Pohon Mangrove di Jakarta Utara ",750,seedlings,750 bibit mangrove ditanam,2024,√,https://swa.co.id/read/447780/foto-bisnis-swa-zurich-dan-adira-finance-menanam-pohon-mangrove-di-jakarta-utara,"Foto Bisnis SWA, Zurich dan Adira Finance Menanam Pohon Mangrove di Jakarta Utara ","SWA Business Photo, Zurich and Adira Finance Plant Mangroves in North Jakarta"
55,Kota Administrasi Jakarta Utara,DKI Jakarta,"Ikatan Konsultan Pajak Indonesia Cabang Jakarta Utara (IKPI) 
dan Kanwil Direktorat Jendral Pajak (DJP) Jakarta Utara",Ratusan Orang Hadiri Kolaborasi Tanam Mangrove IKPI dan Kanwil DJP Jakarta Utara,1000,seedlings,1000 bibit mangrove ditanam,2023,√,https://ikpi.or.id/tag/ikpi-jakarta-utara/,Ratusan Orang Hadiri Kolaborasi Tanam Mangrove IKPI dan Kanwil DJP Jakarta Utara,Hundreds Attend Collaborative Mangrove Planting by IKPI and Jakarta North DJP Regional Office
56,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Epson Indonesia,"Lanjutkan Penghijauan, Epson Indonesia Tanam 6000 Pohon dan Rehabilitasi Mangrove ",6000,seedlings,6000 bibit mangrove ditanam,2023,√,https://www.tribunnews.com/nasional/2023/03/23/lanjutkan-penghijauan-epson-indonesia-tanam-6000-pohon-dan-rehabilitasi-mangrove?page=all,"Lanjutkan Penghijauan, Epson Indonesia Tanam 6000 Pohon dan Rehabilitasi Mangrove ","Continuing Greening Efforts, Epson Indonesia Plants 6,000 Trees and Rehabilitates Mangroves"
57,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Panin Asset Management,LindungiHutan Gandeng PT Panin Asset Management Tanam Mangrove ,1250,seedlings,1250 bibit mangrove ditanam,2024,√,https://www.bangbara.com/ekonomi-bisnis/36914138911/lindungihutan-gandeng-pt-panin-asset-management-tanam-mangrove,LindungiHutan Gandeng PT Panin Asset Management Tanam Mangrove ,LindungiHutan Partners with PT Panin Asset Management to Plant Mangroves
58,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Manulife Aset Manajemen Indonesia (MAMI),MAMI Tanam Mangrove untuk Memperingati Hari Bumi ,500,seedlings,500 bibit mangrove ditanam,2024,√,https://beritamoneter.com/mami-tanam-mangrove-untuk-memperingati-hari-bumi/,MAMI Tanam Mangrove untuk Memperingati Hari Bumi ,MAMI Plants Mangroves to Celebrate Earth Day
59,Kota Administrasi Jakarta Utara,DKI Jakarta,Kertabumi Recycling Center,Merek Perawatan Tubuh Alami Serenitree Tanam 178 Pohon Mangrove ,178,seedlings,178 bibit mangrove ditanam,2025,√,https://swa.co.id/read/462772/merek-perawatan-tubuh-alami-serenitree-tanam-178-pohon-mangrove,Merek Perawatan Tubuh Alami Serenitree Tanam 178 Pohon Mangrove ,Natural Body Care Brand Serenitree Plants 178 Mangroves
60,Kota Administrasi Jakarta Utara,DKI Jakarta,PT SCG Readymix Indonesia,Mitigasi Perubahan Iklim -  Jayamix by SCG Tanam 1.972 Magrove di Pesisir Jakarta ,1972,seedlings,1972 bibit mangrove ditanam,2022,√,https://www.neraca.co.id/article/164768/mitigasi-perubahan-iklim-jayamix-by-scg-tanam-1972-magrove-di-pesisir-jakarta,Mitigasi Perubahan Iklim -  Jayamix by SCG Tanam 1.972 Magrove di Pesisir Jakarta ,"Climate Change Mitigation – Jayamix by SCG Plants 1,972 Mangroves in North Jakarta’s Coast"
61,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Grahaprima Suksesmandiri Tbk,Penanaman Pohon Bakau Jaga Keberlanjutan Ekosistem Pesisir ,200,seedlings,200 bibit mangrove ditanam,2024,√,https://mediaindonesia.com/humaniora/724396/penanaman-pohon-bakau-jaga-keberlanjutan-ekosistem-pesisir,Penanaman Pohon Bakau Jaga Keberlanjutan Ekosistem Pesisir ,Mangrove Planting Helps Sustain Coastal Ecosystems
62,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Pertamina International Shipping (PIS),Pertamina International Shipping Tanam 20 Ribu Bibit Tanaman Mangrove di Pesisir Jakarta,20000,seedlings,20000 bibit mangrove ditanam,2023-2025,√,https://www.dunia-energi.com/pertamina-international-shipping-tanam-20-ribu-bibit-tanaman-mangrove-di-pesisir-jakarta/,Pertamina International Shipping Tanam 20 Ribu Bibit Tanaman Mangrove di Pesisir Jakarta,"Pertamina International Shipping Plants 20,000 Mangrove Seedlings on the Jakarta Coast"
63,Kota Administrasi Jakarta Utara,DKI Jakarta,PT PP Presisi Tbk (PPRE),PP Presisi Laksanakan 3 Program TJSL hingga Maret 2022 ,500,seedlings,500 bibit mangrove ditanam,2022,√,https://voi.id/ekonomi/161451/pp-presisi-laksanakan-3-program-tjsl-hingga-maret-2022,PP Presisi Laksanakan 3 Program TJSL hingga Maret 2022 ,PP Presisi Implements 3 CSR Programs up to March 2022
64,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Karya Citra Nusantara,PT KCN Komitmen dalam Penanaman Mangrove sepanjang 4 Kilometer di Hari Mangrove Sedunia 2025 ,3000,seedlings,3000 bibit mangrove ditanam,2025,√,https://wartaekonomi.co.id/read576738/pt-kcn-komitmen-dalam-penanaman-mangrove-sepanjang-4-kilometer-di-hari-mangrove-sedunia-2025,PT KCN Komitmen dalam Penanaman Mangrove sepanjang 4 Kilometer di Hari Mangrove Sedunia 2025 ,PT KCN Commits to Mangrove Planting Along 4 Kilometers on World Mangrove Day 2025
65,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Pigeon Indonesia,"PT Pigeon Indonesia Kolaborasi dengan LindungiHutan, Tanam 1.000 Pohon Mangrove di Jakarta ",1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://www.bangbara.com/gaya-hidup/36913111733/pt-pigeon-indonesia-kolaborasi-dengan-lindungihutan-tanam-1000-pohon-mangrove-di-jakarta,"PT Pigeon Indonesia Kolaborasi dengan LindungiHutan, Tanam 1.000 Pohon Mangrove di Jakarta ","PT Pigeon Indonesia Collaborates with LindungiHutan, Plants 1,000 Mangrove Trees in Jakarta"
66,Kota Administrasi Jakarta Utara,DKI Jakarta,Everbest,"Tanam 300 Mangrove, Ini Aksi Hijau Everbest ",300,seedlings,300 mangrove ditanam,2025,√,https://marketing.co.id/tanam-300-mangrove-ini-aksi-hijau-everbest/,"Tanam 300 Mangrove, Ini Aksi Hijau Everbest ","Planting 300 Mangroves, Everbest’s Green Action"
67,Kota Administrasi Jakarta Utara,DKI Jakarta,"BKDSA DKI Jakarta, YKAN dan Tugu Insurance",Tugu Insurance dan YKAN Dukung Pelestarian Mangrove di SM Muara Angke ,100,seedlings,100 bibit mangrove ditanam,2023,√,https://news.detik.com/berita/d-6619316/tugu-insurance-dan-ykan-dukung-pelestarian-mangrove-di-sm-muara-angke,Tugu Insurance dan YKAN Dukung Pelestarian Mangrove di SM Muara Angke ,Tugu Insurance and YKAN Support Mangrove Conservation at Muara Angke Wildlife Reserve
68,Kota Administrasi Jakarta Utara,DKI Jakarta,B. Braun Indonesia dan Wastehub,Aksi B. Braun Indonesia dan Wastehub Tanam Mangrove Perkuat Komitmen Lestari ,200,seedlings,200 bibit mangrove ditanam,2024,√,https://swa.co.id/read/453526/aksi-b-braun-indonesia-dan-wastehub-tanam-mangrove-perkuat-komitmen-lestari,Aksi B. Braun Indonesia dan Wastehub Tanam Mangrove Perkuat Komitmen Lestari ,B. Braun Indonesia and Wastehub’s Action to Plant Mangroves Strengthens Sustainability Commitment
69,Kota Administrasi Jakarta Utara,DKI Jakarta,Garuda Indonesia dan JejakIn,"Garuda Gandeng Jejakin Kurangi Emisi Karbon, Tanam 3.000 Mangrove di Jakarta",3000,seedlings,3000 bibit mangrove ditanam,2023,√,https://bisnis.espos.id/garuda-gandeng-jejakin-kurangi-emisi-karbon-tanam-3-000-mangrove-di-jakarta-1579700,"Garuda Gandeng Jejakin Kurangi Emisi Karbon, Tanam 3.000 Mangrove di Jakarta","Garuda Partners with Jejakin to Reduce Carbon Emissions, Plants 3,000 Mangroves in Jakarta"
70,Kota Administrasi Jakarta Utara,DKI Jakarta,Telkomsel bersama Jejak.In,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ",1000,seedlings,1000 bibit mangrove ditanam,2023,√,https://www.telkomsel.com/about-us/news/melanjutkan-program-carbon-offset-inisiatif-telkomsel-jaga-bumi-tanam-15060-pohon-di,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ","Continuing the Carbon Offset Program, Telkomsel’s “Care for Earth” Initiative Plants 15,060 Trees in Indonesia’s Mangrove Forests"
71,Kota Administrasi Jakarta Utara,DKI Jakarta,CGS-CIMB Sekuritas Indonesia dan Seasoldier,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ",500,seedlings,500 bibit mangrove ditanam,2022,√,https://www.netralnews.com/tanam-5000-mangrove-di-lima-wilayah-cgs-cimb-ayo-buat-satu-bumi-ini-lebih-hijau/amM2M21kWThBRThBdmJwR1RXTUdNQT09,"Tanam 5.000 Mangrove di Lima Wilayah, CGS-CIMB: Ayo Buat Satu Bumi Ini Lebih Hijau! ","Planting 5,000 Mangroves in Five Regions, CGS-CIMB: Let’s Make This One Earth Greener!"
72,Administrasi Kepulauan Seribu,DKI Jakarta,Allianz Indonesia,Allianz Indonesia Berkomitmen Jaga Bumi Lewat Pelestarian Lingkungan dan Pemberdayaan Masyarakat ,5000,seedlings,5000 bibit mangrove ditanam,2024,√,https://mediaasuransinews.co.id/asuransi/allianz-indonesia-berkomitmen-jaga-bumi-lewat-pelestarian-lingkungan-dan-pemberdayaan-masyarakat/,Allianz Indonesia Berkomitmen Jaga Bumi Lewat Pelestarian Lingkungan dan Pemberdayaan Masyarakat ,Allianz Indonesia Commits to Protecting the Earth Through Environmental Conservation and Community Empowerment
73,Administrasi Kepulauan Seribu,DKI Jakarta,Natur-E,"2.000 Bibit Mangrove Ditanam di Pesisir Surabaya, PT PAL: Kepedulian Terhadap Lingkungan",2000,seedlings,2000 bibit mangrove ditanam,2025,√,https://swa.co.id/read/459388/natur-e-perkuat-posisi-pasar-lewat-inovasi-produk-berbasis-alami,"2.000 Bibit Mangrove Ditanam di Pesisir Surabaya, PT PAL: Kepedulian Terhadap Lingkungan","2,000 Mangrove Seedlings Planted on the Surabaya Coast, PT PAL: Caring for the Environment"
74,Administrasi Kepulauan Seribu,DKI Jakarta,PT Astra Honda Motor (AHM),"Bentuk Peduli Lingkungan, AHM Tanam 3.200 Pohon Mangrove di Pulau Pramuka ",3200,seedlings,3200 bibit mangrove ditanam,2024,√,https://otomotifnet.gridoto.com/read/234140782/bentuk-peduli-lingkungan-ahm-tanam-3200-pohon-mangrove-di-pulau-pramuka,"Bentuk Peduli Lingkungan, AHM Tanam 3.200 Pohon Mangrove di Pulau Pramuka ","As a Form of Environmental Care, AHM Plants 3,200 Mangrove Trees on Pramuka Island"
75,Administrasi Kepulauan Seribu,DKI Jakarta,"PT Global Digital Niaga Tbk (BELI) atau Blibli , 
CarbonEthics dan Bank Neo Commerce",Blibli (BELI) Menanam Pohon Mangrove di Kepulauan Seribu ,7000,seedlings,7000 bibit mangrove ditanam,2024,√,https://swa.co.id/read/453669/blibli-beli-menanam-pohon-mangrove-di-kepulauan-seribu,Blibli (BELI) Menanam Pohon Mangrove di Kepulauan Seribu ,Blibli (BELI) Plants Mangrove Trees in the Thousand Islands
76,Administrasi Kepulauan Seribu,DKI Jakarta,PT BRI,BRI Kembali Tanam Bibit Mangrove di Pulau Tidung ,500,seedlings,500 bibit mangrove ditanam,2023,√,https://www.bloombergtechnoz.com/detail-news/16016/bri-kembali-tanam-bibit-mangrove-di-pulau-tidung/2,BRI Kembali Tanam Bibit Mangrove di Pulau Tidung ,BRI Plants Mangrove Seedlings Again on Tidung Island
77,Administrasi Kepulauan Seribu,DKI Jakarta," Jakarta Futures Exchange (JFX)
 dan Artha Graha Peduli (AGP)",Jakarta Futures Exchange-Artha Graha Peduli Tanam 2.500 Mangrove di Pulau Sebaru,2500,seedlings,2500 bibit mangrove ditanam,2024,√,https://rm.id/baca-berita/ekonomi-bisnis/210687/jakarta-futures-exchangeartha-graha-peduli-tanam-2500-mangrove-di-pulau-sebaru,Jakarta Futures Exchange-Artha Graha Peduli Tanam 2.500 Mangrove di Pulau Sebaru,"Jakarta Futures Exchange–Artha Graha Peduli Plants 2,500 Mangroves on Sebaru Island"
78,Administrasi Kepulauan Seribu,DKI Jakarta,PT Atome Finance Indonesia,PT Atome Finance Mitigasi Perubahan Iklim lewat PenanamanBakau di Pulau Genteng Kecil ,100,seedlings,100 bibit mangrove ditanam,2024,√,https://pressrelease.kontan.co.id/news/pt-atome-finance-mitigasi-perubahan-iklim-lewat-penanamanbakau-di-pulau-genteng-kecil,PT Atome Finance Mitigasi Perubahan Iklim lewat PenanamanBakau di Pulau Genteng Kecil ,PT Atome Finance Mitigates Climate Change by Planting Mangroves on Genteng Kecil Island
79,Administrasi Kepulauan Seribu,DKI Jakarta,PT Monex Investindo Futures and Carbonethics,"Rayakan 25 Tahun, MIFX Adakan Program Penanaman 2.500 Bibit Mangrove ",2500,seedlings,2500 Bibit mangrove ditanam,2025,√,https://www.idntimes.com/business/finance/rayakan-25-tahun-mifx-02-4rhw2-4qlsfs,"Rayakan 25 Tahun, MIFX Adakan Program Penanaman 2.500 Bibit Mangrove ","Celebrating 25 Years, MIFX Holds a Program to Plant 2,500 Mangrove Seedlings"
80,Administrasi Kepulauan Seribu,DKI Jakarta,"PetroChina International Jabung Ltd. (PCJL)
","Selamatkan Pulau Pari dari Abrasi, PetroChina Tanam 5.000 Mangrove ",5000,seedlings,5000 bibit mangrove ditanam,2023,√,https://news.detik.com/berita/d-6984444/selamatkan-pulau-pari-dari-abrasi-petrochina-tanam-5-000-mangrove,"Selamatkan Pulau Pari dari Abrasi, PetroChina Tanam 5.000 Mangrove ","Saving Pari Island from Abrasion, PetroChina Plants 5,000 Mangroves"
81,Kota Administrasi Jakarta Utara,DKI Jakarta,"PT Patra Drilling Contractor (PDC) 
bersama induk usahanya PT Pertamina Drilling Services Indonesia",Patra Drilling Contractor Gelar Aksi Tanam 1.000 Pohon Mangrove di Pesisir Utara Jakarta ,1000,seedlings,1000 bibit mangrove ditanam,2025,√,https://ecobiz.asia/patra-drilling-contractor-tanam-1000-pohon-mangrove-di-pesisir-utara-jakarta-libatkan-masyarakat-setempat/,Patra Drilling Contractor Gelar Aksi Tanam 1.000 Pohon Mangrove di Pesisir Utara Jakarta ,"Patra Drilling Contractor Holds Mangrove Planting Action with 1,000 Trees on the North Coast of Jakarta"
82,Administrasi Kepulauan Seribu,DKI Jakarta,J&T Express dan LindungiHutan,Program CSR J&T Express Tanam 3.000 Mangrove untuk Melestarikan Lingkungan,2000,seedlings,2000 bibit mangrove ditanam,2024,√,https://www.ontime.id/program-csr-jt-express-tanam-3-000-mangrove-untuk-melestarikan-lingkungan/,Program CSR J&T Express Tanam 3.000 Mangrove untuk Melestarikan Lingkungan,"J&T Express CSR Program Plants 3,000 Mangroves to Preserve the Environment"
83,Kota Administrasi Jakarta Utara,DKI Jakarta,PT Bussan Auto Finance bersama LindungiHutan,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,1000,seedlings,1000 bibit mangrove ditanam,2023,√,https://kalteng.co/bisnis/baf-donasikan-20-000-bibit-pohon-bakau-di-enam-pesisir-pantai-di-indonesia/,BAF Donasikan 20.000 Bibit Pohon Bakau di Enam Pesisir Pantai di Indonesia ,"BAF Donates 20,000 Mangrove Seedlings on Six Coastal Beaches in Indonesia"
84,Bone Bolongo,Gorontalo,PT Pertamina Patra Niaga Sulawesi,Pertamina Patra Niaga Sulawesi Gelar Aksi Bersih Pantai dan Tanam Mangrove di Desa Tongo Gorontalo,1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://detiksultra.com/kendari/pertamina-patra-niaga-sulawesi-gelar-aksi-bersih-pantai-dan-tanam-mangrove-di-desa-tongo-gorontalo/,Pertamina Patra Niaga Sulawesi Gelar Aksi Bersih Pantai dan Tanam Mangrove di Desa Tongo Gorontalo,"Pertamina Patra Niaga Sulawesi Holds Beach Clean-up and Mangrove Planting in Tongo Village, Gorontalo"
85,Pohuwato,Gorontalo,"PT Pertamina Patra Niaga Sulawesi melalui Integrated Terminal (IT) Gorontalo, 
bersama Balai Konservasi Sumber Daya Alam (BKSDA) Sulawesi Utara","Tanam 1.000 Bibit Mangrove, Pertamina Sulawesi Dorong Konservasi Kawasan Panua",1000,seedlings,1000 bibit mangrove ditanam,2025,√,https://smartfm.sonora.id/read/584287914/tanam-1000-bibit-mangrove-pertamina-sulawesi-dorong-konservasi-kawasan-panua,"Cegah Abrasi, Bukit Asam (PTBA) Tanam Mangrove di Pantai Taluak","Preventing Abrasion, Bukit Asam (PTBA) Plants Mangroves on Taluak Beach"
86,Pohuwato,Gorontalo,PLN Nusantara Power Unit Pembangkitan Gorontalo,"Peringati HPMI 2024, PLN NP UP Gorontalo Gelar Penanaman 1000 Pohon Mangrove",1000,seedlings,1000 bibit mangrove ditanam,2024,√,https://kontras.id/2024/11/30/peringati-hpmi-2024-pln-np-up-gorontalo-gelar-penanaman-1000-pohon-mangrove/,"Peringati HPMI 2024, PLN NP UP Gorontalo Gelar Penanaman 1000 Pohon Mangrove","Commemorating HPMI 2024, PLN NP UP Gorontalo Holds Mangrove Planting of 1,000 Trees"
87,Tanjung Jabung Barat,Jambi,Pertamina Patra Niaga Regional Sumbagsel dan Dinas Perikanan Kabupaten Tanjung Jabung Barat,Komitmen Net Zero Emission: Pertamina Implementasikan Silvofishery di Kawasan Mangrove Pesisir Pangkal Babu,100,seedlings,100 bibit mangrove ditanam,2024,√,https://www.indonesiadaily.co.id/pariwara/72013715865/komitmen-net-zero-emission-pertamina-implementasikan-silvofishery-di-kawasan-mangrove-pesisir-pangkal-babu,Komitmen Net Zero Emission: Pertamina Implementasikan Silvofishery di Kawasan Mangrove Pesisir Pangkal Babu,Commitment to Net Zero Emission: Pertamina Implements Silvofishery in the Pangkal Babu Mangrove Coastal Area
88,Tanjung Jabung Timur,Jambi,"PT Permodalan Nasional Madani (PNM) Cabang Jambi, 
Kodim 0419/Tanjab dan BKSDA Jambi",PNM Jambi tanam 5.000 mangrove di Tanjung Jabung Timur,5000,seedlings,5000 bibit mangrove ditanam,2024,√,https://www.antaranews.com/berita/4220747/pnm-jambi-tanam-5000-mangrove-di-tanjung-jabung-timur,PNM Jambi tanam 5.000 mangrove di Tanjung Jabung Timur,"PNM Jambi Plants 5,000 Mangroves in East Tanjung Jabung"
89,Tanjung Jabung Timur,Jambi,BPOM Jambi,Gubernur: Penanaman 5 Ribu Bibit Mangrove Bentuk Konkrit Telkom Indonesia Lestarikan Lingkungan ,850,seedlings,850 bibit ditanam,2023,√,https://jambi.pom.go.id/berita/mewujudkan-net-zero-carbon-bpom-jambi-melaksanakan-penanaman-mangrove-berkolaborasi-dengan-stakeholder-dan-pelaku-usaha-obat-dan-makanan,Gubernur: Penanaman 5 Ribu Bibit Mangrove Bentuk Konkrit Telkom Indonesia Lestarikan Lingkungan ,"Governor: Planting 5,000 Mangrove Seedlings is Telkom Indonesia’s Concrete Step to Preserve the Environment"
90,Bekasi,Jawa Barat,BRI,BRI Tanam 10.000 Pohon Mangrove di Muara Gembong untuk Peringati Hari Mangrove Sedunia ,550,seedlings,550 bibit mangrove ditanam ,2025,√,https://swa.co.id/read/462009/bri-tanam-10000-pohon-mangrove-di-muara-gembong-untuk-peringati-hari-mangrove-sedunia,BRI Tanam 10.000 Pohon Mangrove di Muara Gembong untuk Peringati Hari Mangrove Sedunia ,"BRI Plants 10,000 Mangrove Trees in Muara Gembong to Commemorate World Mangrove Day"
91,Bekasi,Jawa Barat,PT Humpuss Maritim Internasional Tbk (HUMI),"Gencarkan Kompensasi Karbon, HUMI Tanam 5.500 Bibit Mangrove di Muara Gembong ",4000,seedlings,4000 bibit mangrove ditanam,2024,√,https://swa.co.id/read/453446/gencarkan-kompensasi-karbon-humi-tanam-5500-bibit-mangrove-di-muara-gembong,"Gencarkan Kompensasi Karbon, HUMI Tanam 5.500 Bibit Mangrove di Muara Gembong ","Boosting Carbon Compensation, HUMI Plants 5,500 Mangrove Seedlings in Muara Gembong"
92,Bekasi,Jawa Barat,PT. Sugity Creatives,Pemkab Bekasi Apresiasi PT. Sugity Creatives Tanam 45.000 Mangrove di Pantai Beting,45000,seedlings,45000 bibit mangrove ditanam,2022-2024,√,https://www.bekasikab.go.id/pemkab-bekasi-apresiasi-pt-sugity-creatives-tanam-45000-mangrove-di-pantai-beting,Pemkab Bekasi Apresiasi PT. Sugity Creatives Tanam 45.000 Mangrove di Pantai Beting,"Bekasi Regency Government Appreciates PT Sugity Creatives for Planting 45,000 Mangroves on Beting Beach"
93,Bekasi,Jawa Barat,PT Nippisun Indonesia,PT Nippisun Indonesia Gandeng DPP Komite Nasional Untuk Pelestarian Lingkungan Hidup ,5000,seedlings,5000 bibit mangrove ditanam,2023,√,https://www.mitranews.net/hot-news/10510512010/pt-nippisun-indonesia-gandeng-dpp-komite-nasional-untuk-pelestarian-lingkungan-hidup,PT Nippisun Indonesia Gandeng DPP Komite Nasional Untuk Pelestarian Lingkungan Hidup ,PT Nippisun Indonesia Partners with the National Committee for Environmental Conservation (DPP KNPLH)
94,Bekasi,Jawa Barat,PT Medco Energi Internasional Tbk ,"Selamatkan Pantai Sederhana, MedcoEnergi Tanam Mangrove untuk Cegah Abrasi ",5000,seedlings,5000 bibit mangrove ditanam,2025,√,https://www.dunia-energi.com/mangrove-donasi-medcoenergi-selamatkan-pantai-sederhana-dari-abrasi/,"Selamatkan Pantai Sederhana, MedcoEnergi Tanam Mangrove untuk Cegah Abrasi ","Saving Sederhana Beach, MedcoEnergi Plants Mangroves to Prevent Abrasion"
95,Bekasi,Jawa Barat,PT KAI,"Seribu Mangrove, Hijaukan Hutan Bakau Muara Tawar Segarajaya ",1015,seedlings,1015 bibit mangrove ditanam,2023,√,https://news.detik.com/foto-news/d-6904447/seribu-mangrove-hijaukan-hutan-bakau-muara-tawar-segarajaya,"Seribu Mangrove, Hijaukan Hutan Bakau Muara Tawar Segarajaya ","A Thousand Mangroves, Greening the Muara Tawar Segarajaya Mangrove Forest"
96,Bekasi,Jawa Barat,Alfamart,"Ulang Tahun ke -25, Alfamart Tanam 25.000 Pohon Mangrove untuk Cegah Abrasi di Muara Gembong ",25000,seedlings,25000 bibit mangrove ditanam,2024,√,https://www.suara.com/news/2024/06/28/194441/ulang-tahun-ke-25-alfamart-tanam-25000-pohon-mangrove-untuk-cegah-abrasi-di-muara-gembong?page=all,"Ulang Tahun ke -25, Alfamart Tanam 25.000 Pohon Mangrove untuk Cegah Abrasi di Muara Gembong ","25th Anniversary, Alfamart Plants 25,000 Mangrove Trees to Prevent Abrasion in Muara Gembong"
97,Cirebon,Jawa Barat,PT Pelayaran Nasional Indonesia or PT PELNI (Persero),PELNI's CSR Program Organizes Mangrove Planting and Beach Cleanup Activities,2000,seedlings,2000 bibit mangrove ditanam,2024,√,https://pelni.co.id/pelnis-csr-program-organizes-mangrove-planting-and-beach-cleanup-activities,PELNI's CSR Program Organizes Mangrove Planting and Beach Cleanup Activities,PELNI’s CSR Program Organizes Mangrove Planting and Beach Cleanup Activities
98,Subang,Jawa Barat,PT Telkom Indonesia (Persero) Tbk,Telkom Indonesia Luncurkan Program GoZero untuk Atasi Krisis Iklim ,10000,seedlings,10000 bibit mangrove ditanam,2024,√,https://kumparan.com/kumparanbisnis/telkom-indonesia-luncurkan-program-gozero-untuk-atasi-krisis-iklim-23v5xukPUbR,Telkom Indonesia Luncurkan Program GoZero untuk Atasi Krisis Iklim ,Telkom Indonesia Launches GoZero Program to Tackle the Climate Crisis
99,Indramayu,Jawa Barat,Telkomsel bersama Jejak.In,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ",2000,seedlings,2000 bibit mangrove ditanam,2023,√,https://www.telkomsel.com/about-us/news/melanjutkan-program-carbon-offset-inisiatif-telkomsel-jaga-bumi-tanam-15060-pohon-di,"Melanjutkan Program Carbon Offset, Inisiatif Telkomsel Jaga Bumi Tanam 15.060 Pohon di Kawasan Hutan Mangrove Indonesia ","Continuing the Carbon Offset Program, Telkomsel’s “Care for Earth” Initiative Plants 15,060 Trees in Indonesia’s Mangrove Forests"
100,Bekasi,Jawa Barat,Allianz Indonesia,Allianz Indonesia Berkomitmen Jaga Bumi Lewat Pelestarian Lingkungan dan Pemberdayaan Masyarakat ,3000,seedlings,3000 bibit mangrove ditanam,2024,√,https://mediaasuransinews.co.id/asuransi/allianz-indonesia-berkomitmen-jaga-bumi-lewat-pelestarian-lingkungan-dan-pemberdayaan-masyarakat/,Allianz Indonesia Berkomitmen Jaga Bumi Lewat Pelestarian Lingkungan dan Pemberdayaan Masyarakat ,Allianz Indonesia Commits to Protecting the Earth Through Environmental Conservation and Community Empowerment
101,Karawang,Jawa Barat,Allianz Indonesia,Allianz Indonesia Berkomitmen Jaga Bumi Lewat Pelestarian Lingkungan dan Pemberdayaan Masyarakat ,12260,seedlings,12260 bibit mangrove ditanam,2024,√,https://mediaasuransinews.co.id/asuransi/allianz-indonesia-berkomitmen-jaga-bumi-lewat-pelestarian-lingkungan-dan-pemberdayaan-masyarakat/,Allianz Indonesia Berkomitmen Jaga Bumi Lewat Pelestarian Lingkungan dan Pemberdayaan Masyarakat ,Allianz Indonesia Commits to Protecting the Earth Through Environmental Conservation and Community Empowerment
